Year,School Name,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2001,O'Leary Elementary ,,40,27,36,42,44,42,,,  ,,,
2001,Parkdale Elementary ,,21,21,20,36,27,34,,,,,,
2001,Parkside Elementary,,40,37,56,43,58,55,,,,,,
2001,Prince Street Elementary ,,53,60,57,48,54,55,,,,,,
2001,Queen Charlotte Intermediate,,,,,,,,209,171,180,,,
2001,Queen Elizabeth Elementary,,64,48,83,59,65,86,,,   ,,,
2001,Rollo Bay Consolidated ,,,,,,26,26,41,33,,,,
2001,Sherwood Elementary ,,85,90,92,103,96,105,,,,,,
2001,Somerset Elementary ,,20,32,17,29,22,29,22,17,,,,
2001,Souris Consolidated ,,28,29,25,39,22,36,30,36,,,,
2001,Souris Regional High ,,,,,,,,,,86,82,88,88
2001,Southern Kings Consolidated ,,38,38,48,34,38,47,44,45,,,,
2001,Spring Park Elementary ,,90,65,87,77,80,88,,,,,,
2001,St. Jean Elementary ,,29,31,43,40,36,30,,,,,,
2001,St. Louis Elementary ,,28,27,27,32,26,29,,,  ,,,
2001,St. Peter's Consolidated ,,15,13,13,16,13,9,15,15,,,,
2001,St. Teresa's Consolidated ,,4,8,7,11,6,8,11,7,,,,
2001,Stonepark Intermediate,,,,,,,,250,276,238,,,
2001,Summerside Intermediate,,,,,,,,212,196,212,,,
2001,Three Oaks Senior High,,,,,,,,,,,315,301,287
2001,Tignish Elementary ,,51,41,52,57,50,42,,,  ,,,
2001,Tracadie Cross Consolidated ,,19,17,20,16,10,13,20,8,,,,
2001,Vernon River Consolidated ,,21,23,23,37,23,26,36,22,25,,,
2001,West Kent Elementary ,,12,19,15,26,25,30,,,,,,
2001,West Royalty Elementary ,,74,79,76,73,81,67,,,,,,
2001,Westisle Composite High ,,,,,,,,,,,206,253,269
2001,Westwood Primary ,,136,145,154,,,,,,,,,
2001,École Évangéline,,32,31,14,27,36,28,40,42,34,35,40,29
2001,École François-Buote,,13,15,14,13,9,18,17,20,18,10,5,15
2001,École St-Augustin,,4,6,,,,,,,,,,
2001,École-sur-Mer,,9,4,3,4,4,,,,,,,
2001,Centre scolaire cummunautaire française de Prince-Ouest,,4,6,,2,2,3,,,,,,
2001,Immanuel Christian ,,3,4,2,3,3,5,3,2,2,1,,
2001,Full Circle Co-operative  ,,0,0,2,2,2,1,2,1,3,,,
2001,Fair Isle Adventist,,0,1,1,1,2,0,1,1,0,,,
2001,Grace Christian,,10,15,11,17,10,16,13,15,17,16,11,13
2002,Alberton Elementary ,,38,41,29,29,41,35,,,,,,
2002,Alternative Education Class,,,,,,,,,3,14,6,,
2002,Amherst Cove Consolidated,,27,24,24,26,19,29,24,21,,,,
2002,Athena Consolidated,,30,54,45,38,56,53,48,62,49,,,
2002,Belfast Consolidated ,,21,22,28,31,36,33,32,27,34,,,
2002,Birchwood Intermediate,,,,,,,,163,171,136,,,
2002,Bloomfield Elementary ,,36,30,34,40,29,33,,,,,,
2002,Bluefield High,,,,,,,,,,,285,319,249
2002,Cardigan Consolidated,,23,15,27,27,21,27,41,20,,,,
2002,Central Queens Elementary,,37,40,34,42,45,49,,,,,,
2002,Charlottetown Rural High,,,,,,,,,,,290,356,414
2002,Colonel Gray High,,,,,,,,,,,300,318,311
2002,Donagh Regional ,,18,19,19,18,17,19,19,18,16,,,
2002,Dundas Consolidated ,,7,12,12,11,7,10,10,9,,,,
2002,East Wiltshire Intermediate,,,,,,,,219,201,191,,,
2002,Eastern Kings Consolidated ,,18,5,12,6,9,11,10,10,,,,
2002,Eliot River Elementary,,,,,151,136,150,,,,,,
2002,Ellerslie Elementary ,,23,32,34,37,26,41,,,,,,
2002,Elm Street Elementary,,71,71,53,96,98,99,,,,,,
2002,Englewood ,,20,29,21,26,29,34,27,25,29,,,
2002,Fortune Consolidated ,,26,31,29,30,,,,,,,,
2002,Georgetown Elementary ,,15,10,11,19,10,14,16,7,,,,
2002,Glen Stewart Elementary,,98,116,93,110,128,114,,,,,,
2002,Grand Tracadie Elementary ,,6,10,8,9,9,8,,,,,,
2002,Greenfield Elementary,,93,84,79,42,55,61,,,,,,
2002,Gulf Shore Consolidated ,,28,25,28,40,45,39,41,48,27,,,
2002,Hernewood Intermediate ,,,,,,,,145,131,151,,,
2002,Kensington Intermediate/Senior High ,,,,,,,,90,91,70,76,82,78
2002,Kinkora Regional High,,,,,,,,,,43,51,51,56
2002,L. M. Montgomery,,47,64,53,71,71,74,,,,,,
2002,M.E. Callaghan Intermediate ,,,,,,,,107,117,106,,,
2002,Miscouche Consolidated,,33,27,29,28,27,33,27,24,25,,,
2002,Montague Consolidated ,,62,77,68,67,71,69,,,,,,
2002,Montague Intermediate ,,,,,,,,76,77,163,,,
2002,Montague Regional High ,,,,,,,,,,,247,238,235
2002,Morell Consolidated ,,23,20,26,38,23,36,21,34,,,,
2002,Morell Regional High ,,,,,,,,,,96,69,90,91
2002,Mt. Stewart Consolidated ,,8,13,11,10,10,11,14,12,,,,
2002,O’Leary Elementary ,,32,39,29,36,42,44,,,,,,
2002,Parkdale Elementary ,,22,20,21,20,31,26,,,,,,
2002,Parkside Elementary,,41,38,31,57,44,58,,,,,,
2002,Prince Street Elementary ,,46,48,61,58,44,53,,,,,,
2002,Queen Charlotte Intermediate,,,,,,,,182,200,168,,,
2002,Queen Elizabeth Elementary,,67,62,49,84,62,63,,,   ,,,
