School,Year,Size
M.E. Callaghan Intermediate,2013,243
M.E. Callaghan Intermediate,2014,252
M.E. Callaghan Intermediate,2015,247
Miscouche Consolidated,1999,231
Miscouche Consolidated,2000,233
Miscouche Consolidated,2001,241
Miscouche Consolidated,2002,253
Miscouche Consolidated,2003,257
Miscouche Consolidated,2004,253
Miscouche Consolidated,2005,256
Miscouche Consolidated,2006,241
Miscouche Consolidated,2007,247
Miscouche Consolidated,2008,250
Miscouche Consolidated,2009,244
Miscouche Consolidated,2010,288
Miscouche Consolidated,2011,266
Miscouche Consolidated,2012,257
Miscouche Consolidated,2013,262
Miscouche Consolidated,2014,238
Miscouche Consolidated,2015,244
Montague Consolidated,1999,410
Montague Consolidated,2000,405
Montague Consolidated,2001,412
Montague Consolidated,2002,414
Montague Consolidated,2003,426
Montague Consolidated,2004,428
Montague Consolidated,2005,401
Montague Consolidated,2006,379
Montague Consolidated,2007,366
Montague Consolidated,2008,370
Montague Consolidated,2009,339
Montague Consolidated,2010,395
Montague Consolidated,2011,414
Montague Consolidated,2012,418
Montague Consolidated,2013,414
Montague Consolidated,2014,419
Montague Consolidated,2015,409
Montague Intermediate,1999,345
Montague Intermediate,2000,357
Montague Intermediate,2001,351
Montague Intermediate,2002,316
Montague Intermediate,2003,315
Montague Intermediate,2004,344
Montague Intermediate,2005,325
Montague Intermediate,2006,298
Montague Intermediate,2007,333
Montague Intermediate,2008,325
Montague Intermediate,2009,359
Montague Intermediate,2010,341
Montague Intermediate,2011,311
Montague Intermediate,2012,294
Montague Intermediate,2013,284
Montague Intermediate,2014,310
Montague Intermediate,2015,276
Montague Regional High,1999,710
Montague Regional High,2000,715
Montague Regional High,2001,718
Montague Regional High,2002,720
Montague Regional High,2003,740
Montague Regional High,2004,720
Montague Regional High,2005,725
Montague Regional High,2006,714
Montague Regional High,2007,694
Montague Regional High,2008,692
Montague Regional High,2009,641
Montague Regional High,2010,629
Montague Regional High,2011,603
Montague Regional High,2012,565
Montague Regional High,2013,546
Montague Regional High,2014,480
Montague Regional High,2015,468
Morell Consolidated,1999,227
Morell Consolidated,2000,215
Morell Consolidated,2001,213
Morell Consolidated,2002,221
Morell Consolidated,2003,213
Morell Consolidated,2004,201
Morell Consolidated,2005,183
Morell Consolidated,2006,178
Morell Consolidated,2007,158
Morell Consolidated,2008,155
Morell Consolidated,2009,211
Morell Consolidated,2010,215
Morell Consolidated,2011,215
Morell Consolidated,2012,198
Morell Consolidated,2013,207
Morell Consolidated,2014,193
Morell Consolidated,2015,195
Morell Regional High,1999,325
Morell Regional High,2000,327
Morell Regional High,2001,338
Morell Regional High,2002,346
Morell Regional High,2003,345
Morell Regional High,2004,343
Morell Regional High,2005,346
Morell Regional High,2006,337
Morell Regional High,2007,326
Morell Regional High,2008,309
Morell Regional High,2009,300
Morell Regional High,2010,272
Morell Regional High,2011,248
Morell Regional High,2012,226
Morell Regional High,2013,184
Morell Regional High,2014,166
Morell Regional High,2015,166
Mt. Stewart Consolidated,1999,120
Mt. Stewart Consolidated,2000,120
Mt. Stewart Consolidated,2001,118
Mt. Stewart Consolidated,2002,89
Mt. Stewart Consolidated,2003,90
Mt. Stewart Consolidated,2004,80
Mt. Stewart Consolidated,2005,70
Mt. Stewart Consolidated,2006,68
Mt. Stewart Consolidated,2007,58
Mt. Stewart Consolidated,2008,50
Mt. Stewart Consolidated,2009,140
Mt. Stewart Consolidated,2010,163
Mt. Stewart Consolidated,2011,155
Mt. Stewart Consolidated,2012,164
Mt. Stewart Consolidated,2013,163
Mt. Stewart Consolidated,2014,169
Mt. Stewart Consolidated,2015,166
O'Leary Elementary,1999,260
O'Leary Elementary,2000,237
O'Leary Elementary,2001,231
O'Leary Elementary,2002,222
O'Leary Elementary,2003,214
O'Leary Elementary,2004,204
O'Leary Elementary,2005,195
O'Leary Elementary,2006,196
O'Leary Elementary,2007,181
O'Leary Elementary,2008,168
O'Leary Elementary,2009,149
O'Leary Elementary,2010,169
O'Leary Elementary,2011,153
O'Leary Elementary,2012,166
O'Leary Elementary,2013,146
O'Leary Elementary,2014,142
O'Leary Elementary,2015,132
Parkdale Elementary,1999,198
Parkdale Elementary,2000,169
Parkdale Elementary,2001,159
Parkdale Elementary,2002,140
Parkdale Elementary,2003,134
Parkdale Elementary,2004,122
Parkdale Elementary,2005,118
Parkdale Elementary,2006,115
Parkdale Elementary,2007,112
Parkdale Elementary,2008,100
Parkdale Elementary,2009,100
Parkdale Elementary,2010,113
Parkdale Elementary,2011,111
Parkdale Elementary,2012,126
Parkdale Elementary,2013,141
Parkdale Elementary,2014,145
Parkdale Elementary,2015,134
Parkside Elementary,1999,318
Parkside Elementary,2000,303
Parkside Elementary,2001,289
Parkside Elementary,2002,269
Parkside Elementary,2003,236
Parkside Elementary,2004,240
Parkside Elementary,2005,207
Parkside Elementary,2006,216
Parkside Elementary,2007,196
Parkside Elementary,2008,179
Parkside Elementary,2009,173
Parkside Elementary,2010,288
Parkside Elementary,2011,313
Parkside Elementary,2012,301
Parkside Elementary,2013,336
Parkside Elementary,2014,356
Parkside Elementary,2015,358
Prince Street Elementary,1999,363
Prince Street Elementary,2000,353
Prince Street Elementary,2001,327
Prince Street Elementary,2002,310
Prince Street Elementary,2003,314
Prince Street Elementary,2004,301
Prince Street Elementary,2005,258
Prince Street Elementary,2006,250
Prince Street Elementary,2007,231
Prince Street Elementary,2008,235
Prince Street Elementary,2009,218
Prince Street Elementary,2010,257
Prince Street Elementary,2011,276
Prince Street Elementary,2012,260
Prince Street Elementary,2013,265
Prince Street Elementary,2014,248
Prince Street Elementary,2015,255
Queen Charlotte Intermediate,1999,555
Queen Charlotte Intermediate,2000,531
Queen Charlotte Intermediate,2001,560
Queen Charlotte Intermediate,2002,550
Queen Charlotte Intermediate,2003,580
Queen Charlotte Intermediate,2004,573
Queen Charlotte Intermediate,2005,566
Queen Charlotte Intermediate,2006,562
Queen Charlotte Intermediate,2007,553
Queen Charlotte Intermediate,2008,531
Queen Charlotte Intermediate,2009,557
Queen Charlotte Intermediate,2010,539
Queen Charlotte Intermediate,2011,493
Queen Charlotte Intermediate,2012,456
Queen Charlotte Intermediate,2013,451
Queen Charlotte Intermediate,2014,502
Queen Charlotte Intermediate,2015,496
Queen Elizabeth Elementary,1999,463
Queen Elizabeth Elementary,2000,440
Queen Elizabeth Elementary,2001,405
Queen Elizabeth Elementary,2002,387
Queen Elizabeth Elementary,2003,405
Queen Elizabeth Elementary,2004,396
Queen Elizabeth Elementary,2005,374
Queen Elizabeth Elementary,2006,358
Queen Elizabeth Elementary,2007,341
Queen Elizabeth Elementary,2008,301
Queen Elizabeth Elementary,2009,272
Queen Elizabeth Elementary,2010,321
Queen Elizabeth Elementary,2011,326
Queen Elizabeth Elementary,2012,322
Queen Elizabeth Elementary,2013,334
Queen Elizabeth Elementary,2014,340
Queen Elizabeth Elementary,2015,326
Rollo Bay Consolidated,1999,139
Rollo Bay Consolidated,2000,135
Rollo Bay Consolidated,2001,126
Rollo Bay Consolidated,2002,125
Rollo Bay Consolidated,2003,112
Rollo Bay Consolidated,2004,115
Rollo Bay Consolidated,2005,112
Rollo Bay Consolidated,2006,102
Rollo Bay Consolidated,2007,89
Rollo Bay Consolidated,2008,34
Rollo Bay Consolidated,2009,0
Rollo Bay Consolidated,2010,0
Rollo Bay Consolidated,2011,0
Rollo Bay Consolidated,2012,0
Rollo Bay Consolidated,2013,0
Rollo Bay Consolidated,2014,0
Rollo Bay Consolidated,2015,0
Sherwood Elementary,1999,631
Sherwood Elementary,2000,627
Sherwood Elementary,2001,571
Sherwood Elementary,2002,548
Sherwood Elementary,2003,549
Sherwood Elementary,2004,524
Sherwood Elementary,2005,524
Sherwood Elementary,2006,509
Sherwood Elementary,2007,504
Sherwood Elementary,2008,478
Sherwood Elementary,2009,451
Sherwood Elementary,2010,536
Sherwood Elementary,2011,551
Sherwood Elementary,2012,536
Sherwood Elementary,2013,529
Sherwood Elementary,2014,542
Sherwood Elementary,2015,561
Somerset Elementary,1999,206
Somerset Elementary,2000,198
Somerset Elementary,2001,188
Somerset Elementary,2002,197
Somerset Elementary,2003,194
