School,Year,Level,Size
Athena Consolidated,2003,Grade 6,56
Athena Consolidated,2003,Grade 7,53
Athena Consolidated,2003,Grade 8,48
Athena Consolidated,2003,Grade 9,58
Athena Consolidated,2003,Grade 10,0
Athena Consolidated,2003,Grade 11,0
Athena Consolidated,2003,Grade 12,0
Athena Consolidated,2004,K,0
Athena Consolidated,2004,Grade 1,23
Athena Consolidated,2004,Grade 2,36
Athena Consolidated,2004,Grade 3,38
Athena Consolidated,2004,Grade 4,55
Athena Consolidated,2004,Grade 5,46
Athena Consolidated,2004,Grade 6,43
Athena Consolidated,2004,Grade 7,58
Athena Consolidated,2004,Grade 8,54
Athena Consolidated,2004,Grade 9,50
Athena Consolidated,2004,Grade 10,0
Athena Consolidated,2004,Grade 11,0
Athena Consolidated,2004,Grade 12,0
Athena Consolidated,2005,K,0
Athena Consolidated,2005,Grade 1,36
Athena Consolidated,2005,Grade 2,25
Athena Consolidated,2005,Grade 3,33
Athena Consolidated,2005,Grade 4,41
Athena Consolidated,2005,Grade 5,55
Athena Consolidated,2005,Grade 6,43
Athena Consolidated,2005,Grade 7,44
Athena Consolidated,2005,Grade 8,57
Athena Consolidated,2005,Grade 9,52
Athena Consolidated,2005,Grade 10,0
Athena Consolidated,2005,Grade 11,0
Athena Consolidated,2005,Grade 12,0
